Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.201-9101,Ombudsman,Oct 2019,OK,Required in all contracts,,,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",,No,5301.9103,AFFARS 5301.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Ombudsman,Apr 2014,OK,Required in all contracts,,,"07/18/14 CDC
10/30/09 LDC",,No,5301.9103,AFFARS 5301.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.204-9000,Notification of Government Security Activity and Visitor Group Security Agreements,May 2021,C,"In solicitations and contracts which require a DD Form 254 for performance on U.S. Government installations and overseas.

Notify OESRC","Negotiation Position #1:  Contract Does Not Include a DD Form 254:

This clause is prescribed at AFFARS 5304.404-90 to be used in solicitations and contracts that require a DD Form 254, DOD Contract Security Classification Specification, and requires performance at a government location in the U.S. or overseas.  This contract does not include a DD Form 254.  Therefore, it is requested for this clause to be removed for clarity. Thank you. 

Negotiation Position #2:  Contract will not be Performed on a government location in the U.S. or overseas.  

This clause is prescribed at AFFARS 5304.404-90 to be used in solicitations and contracts that require a DD Form 254, DOD Contract Security Classification Specification, and requires performance at a government location in the U.S. or overseas.  The contract will not be performed at a government location in the U.S. or overseas. Therefore, it is requested for this clause to be removed for clarity. Thank you",,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",Yes - Potential Export/Publication Restrictions.  ,Yes,5304.404-90,AFFARS 5304.404-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Notification of Government Security Activity and Visitor Group Security Agreements,Oct 2019,C,"In solicitations and contracts which require a DD Form 254 for performance on U.S. Government installations and overseas.

Notify OESRC",,,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",Yes - Potential Export/Publication Restrictions.  ,Yes,5304.404-90,AFFARS 5304.404-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.209-9000,Organizational Conflict of Interest,Oct 2019,REMOVE,"There are six (6) versions of this clause. The basic clause is to be used when it is determined that Virginia Tech will be providing System Engineering and Technical Direction (SETA) services.  This will impact the university's ability to participate in future efforts. Virginia Tech should not be performing SETA work.  Therefore, please request for the clause's removal.  Thanks.","Negotiation Position:  Not Executing SETA 

Virginia Tech will be executing research efforts and will not be providing Systems Engineering and Technical Assistance.  Therefore, it is requested for this clause to be removed for clarity. Thank you. ",,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",,No,5309.507-2,AFFARS 5309.507-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"AAFARS 5352.215-9000, Facility Clearance, has been retired.  Request for removal.",,,,"Negotiation Position:  No Longer an Active Clause.  

This clause has been removed from the AAFARS.  Therefore, it is respectfully requested for it to be removed for clarity.  Thank you. ",,05/31/21 CDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.215-9000,Facility Clearance,May 1996,C,"This is a solicitation provision that is required if the solicitation includes a DD Form 254, Contract Security Classification Specification.  

OESRC Comment:  Notify OESRC if Contracting Officer will not remove this legacy clause.  ","Negotiation Position #1:  No Longer an Active Solicitation Provision.    

AFFARS 5352.215-9000, Facility Clearance, is no longer an active solicitation provision.  Therefore, it is requested for it to be removed for clarity.  Thank you. ",,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",Yes - Potential Export/Publication Restrictions. ,Yes,5315.209(S-90) ,AFFARS 5315.209(S-90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"AAFARS 5352.215-9001,Notice of Pre-bid/Pre-proposal Conference, has been retired.  Request for removal.",,,,"Negotiation Position:  No Longer an Active Clause.  

This clause has been removed from the AAFARS.  Therefore, it is respectfully requested for it to be removed for clarity.  Thank you. ",,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.215-9001,Notice of Pre-bid/Pre-proposal Conference,May 1996,C,"Solicitation provision - Notice of Pre-bid/Pre-proposal Conference, is used when appropriate. When access to classified documents is contemplated, the contracting officer may include a provision substantially the same as the provision with its Alternate I.

Will not be included within the award.  

OESRC Comment:  If the Contracting Officer will not remove this legacy provision and it includes its Alternate I, please alert OESRC.  ","Negotiation Position:  No Longer an Active Provision.   

This clause has been removed from the AAFARS.  Therefore, it is respectfully requested for it to be removed for clarity.  Thank you. ",,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",,No,5315.209(S-91) ,AFFARS 5315.209(S-91),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.217-9000,Long Lead Limitation of Government Liability,May 1996,C,Used in all long-lead procurement solicitations and contracts initiated with advance procurement funds.,Will not be applicable to Virginia Tech.,,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",,No,5317.7406,AFFARS 5317.7406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.223-9000,Elimination of Use of Class I Ozone Depleting  Substances (ODS),Oct 2019,C,"Documents that Class I Ozone Depleting Substances are not allowed to be used.  If approval has been provided IAW AFI 32-7086, Hazardous Materials Management, Chapter 4,the contract would include FAR 52.223-11.  ",,,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",,No,5323.804-90,AFFARS 5323.804-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.223-9001,Health and Safety on Government Installations,Oct 2019,REMOVE,"Used in solicitations and contracts, other than for construction, which require performance on a Government installation.","Negotiation Position:  Not Performing on a Government Installation.

Virginia Tech is executing research efforts that will not be performed on a government installation. Since this clause is prescribed at AFFARS 5352.9001 to be included in contracts where performance is on a government installation, it is understood that this clause does not apply.  It is respectfully requested for it to be removed for clarity.  Thank you. ",,"10/17/21 CDC
05/31/21 CDC
07/18/14 CDC",,No,5323.9001,AFFARS 5352.9001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
