Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304.404-9000,Notification of Government Security Activity and Visitor Group Security Agreements,,C,If contract requires performance on US Government installations and overseas,,,10/30/09 LDC,,5304.404-90,http://farsite.hill.af.mil/reghtml/regs/far2afmcfars/af_afmc/affars/5304.htm#P25_542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.201-70,Contracting Officer's Authority,,OK,In all solicitations and contracts,,Yes - Modified,05/2/16 CDC,Yes,1301.605-170,1301.605-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.201-71,Ratification Release,(APR 2010),REMOVE, In a contract document under which payment is made for unauthorized commitments after a ratification has been processed.,,,05/2/16 CDC,No,1301.602-3(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.201-72,Contracting Officer's Representative (COR),(APR 2010),C,In all solicitations and contracts where a COR will be appointed.,,,05/2/16 CDC,Yes - This points out what the COR is able to do.  Remind PI that COR cannot bind US Govt.,1301.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.208-70 ,Restrictions on Printing and Duplicating,(APR 2010),C,In all solicitations and contracts when printing documents may be required in the performance of the contract.,,,05/2/16 CDC,No,1308.802Ð70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.209Ð70,Potential Organizational Conflict of Interest,(APR 2010),C,In solicitations when the contracting officer determines there is a potential organizational conflict of interest.,,Yes  ,05/2/16 CDC,Yes.  May need additional information from PI regarding potential COI.  ,1309.507-1(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.209Ð71,Limitation of Future Contracting,(APR 2010),REMOVE,When the contractor's eligibility for future prime contract or subcontract awards shall be restricted because of services being provided as stated in FAR 9.505Ð1 through 9.505Ð4.,Virginia Tech should not be providing SETA efforts that would preclude it from participating in follow-up RFPs.  Delete this clause.  ,Yes  ,05/2/16 CDC,No,1309.507Ð2(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.209Ð72,Restrictions Against Disclosure,(APR 2010),C,"PUBLICATION RESTRICTION.  NOTIFY OESRC.  

In service contracts, including architect-engineer contracts, and supply and construction contracts requiring a restriction on the release of information developed or obtained in connection with performance of the contract.",Could try to state that VT is executing research and this clause should not apply.  ,Yes  ,05/2/16 CDC,Yes,1309.507Ð2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.209Ð73,Compliance With the Laws,(APR 2010),OK,Required in all contracts.,,Yes  ,05/2/16 CDC,Yes,1309.507Ð2(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.209Ð74,Organizational Conflict of Interest ,(APR 2010),OK,Required in all contracts.,The contractor shall obtain from its subcontractors or consultants the disclosure required in FAR Part 9.507Ð1,Yes  ,05/2/16 CDC,Yes,1309.507Ð2(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.235-70 ,Protection of Human Subjects ,(APR 2010),C,In all solicitations where research services under the contract might involve the use of human subjects. The provision is mandatory where human subjects may be used in performance of the award and may not be modified without consultation with Program Counsel.,,Yes  ,05/2/16 CDC,Yes,"1335.006(d),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.242-70,Postaward Conference,(APR 2010),C,In solicitations when the contracting officer determines that a postaward conference is needed.,,No,05/2/16 CDC,Yes,1342.503-70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
