Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAR clauses can be found at: http://management.energy.gov/DEAR.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix for DEAR clauses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.202-1,Definitions,Feb 2011,C,"In solicitation and contracts that exceed the simplified acquisition threshold.  This clause adds Paragraph ( c) to FAR 52.202-1, Definitions.  ",,Yes,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,,902.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.203-70,Whistleblower Protection for Contractor Employees,Dec 2000,C,Required for all work on behalf of DOE directly related to activites at DOE-owned or leased sites,,Yes - Required in clause,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",Yes,,903.971,http://management.energy.gov/policy_guidance/602.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-2,Security Requirements,Aug 2016,C,"Notify OESRC.  DOE uses this clause instead of FAR 52.204-2.  As prescribed in 904.404(d)(1), the following clause shall be included in contracts entered into under section 31 (research assistance, 42 U.S.C. 2051), or section 41 (ownership and operation of production facilities, 42 U.S.C. 2061) of the Atomic Energy Act of 1954, and in other contracts and subcontracts which involve or are likely to involve classified information or special nuclear material.  ","Negotiation Position #1 - Will Not Involve Classified Information or Special Nuclear Material:  This contract will not involve classified information or special nuclear material.  Therefore, it is requested for this clause to be removed from this contract for clarity.  

Negotiation Position #2 (after further consultation with OESRC):  DEAR 952.204-72, Disclosure of Information (Apr 1994) is prescribed at DEAR 904.404(d)(4) to be used in place of DEAR 952.204-2 in contracts with educational institutions for research involving nuclear technology which could but is not expected to produce classified information or restricted data.  Therefore, it is requested for DEAR 952.204-2 to be removed and for DEAR 952.204-72 to be included in its place.  Thank you.  ","Yes, or clause substantially the same","10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,Yes,904.404(d)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-70,Classification / Declassification,Sept 1997,C,"In contracts which involve classified information.
Notify OESRC.","Negotiation Position #1 - Will Not Involve Classified Information:  This contract will not involve classified information or special nuclear material.  Therefore, it is requested for this clause to be removed from this contract for clarity.  

Negotiation Position #2 (after further consultation with OESRC):  DEAR 952.204-72, Disclosure of Information (Apr 1994) is prescribed at DEAR 904.404(d)(4) to be used in place of DEAR 952.204-70 in contracts with educational institutions for research involving nuclear technology which could but is not expected to produce classified information or restricted data.  Therefore, it requested for DEAR 952.204-70 to be removed and for DEAR 952.204-72 to be included in its place.  Thank you.  ","Yes, in any sub which may involve access to classified information","10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",Yes,Yes,904.404(d)(2),http://management.energy.gov/policy_guidance/603.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-71,Sensitive Foreign Nations Controls,Mar 2011,C,"This clause is required in unclassified research contracts which may involve making unclassified information about nuclear technology available to certain sensitive foreign nations. Virginia Tech is to be provided at the time of award the listing of nations referenced in DOE Order 142.3 or its successor. (The attachment referred to in the clause shall set forth the applicable requirements of the DOE regulations on dissemination of unclassified published and unpublished technical information to foreign nations.)
Notify OESRC.","After consultation with the PI and OESRC:

Negotiation Position:  Virginia Tech will not be providing access to unclassified information about nuclear technology to sensitive foreign nations in the performance of this contract.  Therefore, it is requested for this clause to be removed from this contract for clarity.  ","Yes, this clause shall be included in any subcontracts which may involve making unclassified information about nuclear technology available to sensitive foreign nations.","10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",Yes,Yes,904.404(d)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-72,Disclosure of Information,Apr 1994,C,"This clause may be used in place of the clauses entitled “Security,” 952.204-2, and “Classification/Declassification,” 952.204-70, in contracts with educational institutions for research involving nuclear technology which could but is not expected to produce classified information or restricted data

Notify OESRC if research involves nuclear technology.  ","Negotiation Position:  Research Not Involving Nuclear Technology

This clause is prescribed to be used within contracts with educational institutions for research involving nuclear technology.  Since this contract's scope of work does not include research involving nuclear technology, it is understood that this clause does not apply. Therefore, it is respectfully requested for it to be removed for clarity.  Thank you. ",Not required in clause or prescription.,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",yes,Yes,904.404(d)(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-73,Facility Clearance,May 2002,C,"This is a solicitation provision, not a contract clause.  DOE is required to include this provision in soliciations which require the use of Standard Form 328, Certificate Pertaining to Foreign Interests, for contracts or subcontracts subject to the provisions of 904.70.  Notify OESRC if DOE will not remove this provision.  ","Negotiation Position:  DEAR 952.204-73 is a solicitation provision.  Therefore, it is respectfully requested for it to be removed from a resulting contract.  Thank you. ",Yes - when sub employees need access authorizations,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,Yes,904.404(d)(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
