Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
KEY:,"C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete, Yellow - An updated version of the clause/provision exists and is currently under review.  Green = Review Recently Completed.",,,,,,,,,,(FARS listed in this column are the ones I have not yet reviewed to see if they need to be in our list)
252.201-7000,Contracting Officer's Representative,Dec 1991,C,For contracts when appointment of a COR is anticipated.  , ,Not required in clause or prescription,"03/28/21 CDC
10/20/13 CDC
01/28/10 LDC",no,No,201.602-70,
252.203-7000,Requirements Relating to Compensation of Former DoD Officials,Sep 2011,OK,Required in all solicitations and contracts,,Not required in clause or prescription,"03/28/21 CDC
10/20/13 CDC",no,No,203.171-4(a),
OLD,"Requirements Relating to Compensation of Former DoD Officials
Archived 8/19/2011",Jan 2009,OK,Required in all solicitations and contracts,,Not required in clause or prescription,"03/28/21 CDC
01/13/10 LDC",no,No,203.171-4,
252.203-7001,Prohibition on Persons Convicted of Fraud or other Defense Contract Related Felonies,Jan 2023,C,If contract exceeds SAT.  Excludes contracts for commercial items.,,Yes - first tier subcontracts exceeding SAT except for commercial items,"03/09/23 CDC
03/28/21 CDC
06/12/20 CDC
10/20/13 CDC
10/18/10 LDC",no,No,203.570-3,
OLD,Prohibition on Persons Convicted of Fraud or other Defense Contract Related Felonies,Dec 2008,C,If contract exceeds SAT.  Excludes contracts for commercial items.,,Yes - first tier subcontracts exceeding SAT except for commercial items,"03/28/21 CDC
06/12/20 CDC
10/20/13 CDC
10/18/10 LDC",no,No,203.570-3,
252.203-7002,Requirement to Inform Employees of Whistleblower Rights,Dec 2022,OK,"Required in all solicitations and contracts.  

This notice is now being automatically provided to our Pis in Summit Agreements. Thank you so much. ",,"Yes, in all subcontracts.","03/08/23 CDC
03/28/21 CDC
06/12/20 CDC
02/07/14 CDC
09/05/21 CDC",Yes.  Notify at Time of Award Via Email,No,203.970,
OLD,Requirement to Inform Employees of Whistleblower Rights,Sept 2013,OK,"Required in all solicitations and contracts.  

This notice is now being automatically provided to our Pis in Summit Agreements. Thank you so much. ",,"Yes, in all subcontracts.","03/28/21 CDC
06/12/20 CDC
02/07/14 CDC
09/05/21 CDC",Yes.  Notify at Time of Award Via Email,No,203.970,
OLD,"Requirement to Inform Employees of Whistleblower Rights
Archived 9/9/2013",Jan 2009,OK,Required in all solicitations and contracts,,Not required in clause or prescription,"03/28/21 CDC
12/20/10 LDC",no,No,203.970,
252.203-7003,Agency Office of the Inspector General.,Aug 2019,C,"In contracts that include FAR 52.203-13, Contractor Code of Business Ethics and Conduct.",,Not required in clause or prescription,"03/28/21 CDC
06/12/20 CDC
10/20/13 CDC",no,No,203.1004(a),
