Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,,
KEY:,"C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete, Yellow - An updated version of the clause/provision exists and is currently under review.  Green = Review Recently Completed.  Orange - Link to Provision/Clause/Prescription updated.  ",,,,,,,,,(FARS listed in this column are the ones I have not yet reviewed to see if they need to be in our list),
1052.201-70,Contracting Officer's Representative (COR) Appointment and Authority,Jun 2020,OK,Required in all solicitations and contracts.,,Not required in clause or prescription,CDC 01/24/21,no,1001.670,,
1052.210-70,Contractor Publicity ,Apr 2015,OK,Required in all solicitations and contracts.,,Not required in clause or prescription,CDC 01/24/21,no,1009.204-70,,
1052.219-18 ,Notification of competition limited to eligible 8(a) concerns—Alternate III (Deviation),May 1998,C,"This clause affirms that proposals and awards will only be made with a small business in the SBA's 8(a) program.  Since Virginia Tech is not such an entity, if we are receiving a direct award, we should respectfully request for this clause's removal.  ","Virginia Tech is not a small business and it is, therefore, not a participant in the SBA's 8(a) program. It is respectfully requested for this clause to be removed.  Thank you. ",Not required in clause or prescription,CDC 01/24/21,no,1019.811-3(d)(3),,
1052.219-72 ,8(a) Business Development Program Awards ,Jun 2003,C,"This clause is really applicable to the The Treasury Mentor Protégé Program/SBA 8(a) Program. Virginia Tech is not going to be involved in such a program.  Since Virginia Tech is not such an entity, if we are receiving a direct award, we should respectfully request for this clause's removal.  ","Virginia Tech is not a small business and it is, therefore, not a participant in the SBA's 8(a) program. It is respectfully requested for this clause to be removed.  Thank you. ",Not required in clause or prescription,CDC 01/24/21,no,1019.811-3(f),,
1052.219-73,Department of the Treasury Mentor-Protégé Program.,Jun 2003,C,"Used in all unrestricted solicitations exceeding $650,000 ($1,500,000 for construction) that offer subcontracting possibilities under the Department of the Treasury Mentor-Protégé Program.  Virginia Tech is not going to be involved in such a program.  Therefore, this clause is not applicable.",,Not required in clause or prescription,CDC 01/24/21,no,1019.202-70.(p),,
1052.219-75,Mentor Requirements and Evaluation ,Aug 2011,C,"Used in solicitations and contracts where the contractor is a participant in the Treasury Mentor-Protégé Program.  Virginia Tech is not going to be involved in such a program.  Therefore, this clause is not applicable.",,Not required in clause or prescription,CDC 01/24/21,no,1019.202-70.(p),,
1052.222-70 ,Minority and Women Inclusion ,Jan 2016,C,Used in all solicitations and contracts in support of Departmental Offices for services that exceed the simplified acquisition threshold.,,Not required in clause or prescription,CDC 01/24/21,no,1022.7000,,
1052.228-70 ,Insurance,Apr 2015,C,"This clause requires is required to be included when the contract also includes FAR 52.228-7, Insurance - Liability to Third Persons.  ",,Not required in clause or prescription,CDC 01/24/21,no,1028.310-70 ,,
1052.232-70 ,Limitation of Government's Obligation,Nov 2016,C,"Used in contracts when incremental funding of fixed-price, time-and-material or labor-hour contract via a CR is anticipated.  The Contracting Officer is required to complete Paragraphs (a) and (c ).  Make certain the PI understands that this effort is being incrementally funded and that spending for the project must stay within the incrementally funded amount.

Virginia Tech is required to notify to Contracting Officer ""at least thirty days prior to the date when, in the Contractor's best judgment, the work will reach the point at which the total amount payable by the Government, including any cost for termination for convenience, will approximate 85 percent of the total amount then allotted to the contract for performance of the item(s) identified in paragraph (a) of this clause.""",,Not required in clause or prescription,CDC 01/24/21,Yes,1032.770-7,,
1052.232-7003,Electronic Submission of Payment Requests,Apr 2015,OK,Used  in all solicitations and contracts.,,Not required in clause or prescription,CDC 01/24/21,no,1032.7003,,
