Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See this website for DoTAR clauses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252.217-70,Guarantee,,REMOVE,Requires reprocurement,VT is performing research services and will use its best efforts to perform the research activiities.  VT makes no warranteis,,,,TAR 48 CFR 1217.7001(a),http://www.dot.gov/ost/m60/tamtar/part1217.htm#1217.7001a ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252.217-76,Liability and insurance,Oct-94,REMOVE,"This clause is prescribed at TAR Part 1217.70 - Fixed Price Contracts for Vessel Repair, Alteration, and conversion.  Does not apply.  Also, clause includes indemnification at paragraph(c) which VT cannot accept.",,,07/20/2016 CDC,,TAR 1217.7001(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252.217-80,Department of Labor Safety and Health Regulations for Ship Repairing,,???,,,,,,TAR 48 CFR 1217-7001(b) and (c) ,http://www.dot.gov/ost/m60/tamtar/part1217.htm#1217.7001b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252.222-70,Strikes or picketing affecting timely completion of the contract work,,REMOVE,Insert in contracts when applicable,Remove because it is not applicable to educational institutions,,10/30/09 LDC,,TAR 48 CFR 1222.101-70(a),http://www.dot.gov/ost/m60/tamtar/part1222.htm#1222.101-71a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252.222-71,Strikes or picketing affecting access to a DOT facility,,REMOVE,Insert in contracts when applicable,Remove because it is not applicable to educational institutions,,10/30/09 LDC,,TAR 48 CFR 1222.101-70(a),http://www.dot.gov/ost/m60/tamtar/part1222.htm#1222.101-71a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252.223-70,Removal or Disposal of Hazardous Substances - Applicable Licenses and Permits,,REMOVE,in solicitations and contracts involving the removal or disposal of hazardous waste material.,"It would be self-deleting.  Suggest removal for clarity, but not horrible if CO wants to leave it in. ",,07/20/2016 CDC,,TAR 1223.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252.223-71,Accident and Fire reporting,,C,In contracts where all or part of work will be performed on Government-owned or leased property,,,10/30/09 LDC,,TAR 1223.7000(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252-223-72,Protection of human subjects,Apr 2005,C,When human subjects will be used ,,,09/15/10 LDC,No,TAR 1223.7000(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
