Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304.404-9000,Notification of Government Security Activity and Visitor Group Security Agreements,,C,If contract requires performance on US Government installations and overseas,,,10/30/09 LDC,,http://farsite.hill.af.mil/reghtml/regs/far2afmcfars/af_afmc/affars/5304.htm#P25_542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.203-70,Current/Former Agency Employee Involvement Certification,Apr 2000,C,Solicitation provision - in all solicitations for sole source acquisitions,Should be included in a solicitation by full text.  It requires for use to complete representations and certifications. ,,7/30/14 CDC,No,EPAAR 1503.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.203-71,Display of EPA Office of Inspector General Hotline poster.,Aug 2000,C,"In all contracts valued at $1,000,000 or more including all contract options.",,,7/30/14 CDC,No,EPAAR 1503.500-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.208-70,Printing,Dec 2005,C,"In all contracts which require printing, duplication, binding, reproduction, and related services and are subject to the provisions of the Government Printing and Binding Regulations published by the Joint Committee on Printing, Congress of the United States.

(b) defines printing as ""Duplication of more than 5,000 copies of one page or more than 25,000 copies of multiple pages in the aggregate per requirement constitutes printing""","Not really applicable, but would be self-deleting if it did not apply.  Not a show stopper.  ",,7/30/14 CDC,No,EPAAR 1508.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.209-70,Organizational Conflict of Interest Notification,Apr 1984,C,"Required provision in all solicitations unless an OCI provision is drafted separately, the procurement is with another Federal agency, or the solicitation is under the simplified acquisition threshold (optional for SAT buys).",,,7/30/14 CDC,Yes - Use the Risk Assessment Questionnaire to assist in determining if there is an OCI,EPAAR 1509.507-1(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.209-71,Organizational Conflicts of Interest,May 1994,C,"In all contracts in excess of the simplified acquisition threshold and, as appropriate, in simplified acquisition procedures. Contracts for other than Superfund work shall include Alternate I in this clause in lieu of paragraph (e).",,,7/30/14 CDC,Yes - Use the Risk Assessment Questionnaire to assist in determining if there is an OCI,EPAAR 1509.507-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.209-72,Organizational Conflict of Interest Certification,Apr 1984,C,"Required provision in all solicitations unless an OCI provision is drafted separately, the procurement is with another Federal agency, or the solicitation is under the simplified acquisition threshold (optional for SAT buys).",This will most likely be included by full text as it requires that we complete a certification regarding the existence of a potential OCI during the proposal phase.,,7/30/14 CDC,Yes - Use the Risk Assessment Questionnaire to assist in determining if there is an OCI,EPAAR 1509.507-1(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.209-73,Notification of Conflicts of Interest Regarding Personnel ,May 1994,C,"In all solicitations and contracts for Superfund work in excess of the simplified acquisition threshold and, as appropriate, in small purchases for Superfund work.","Will not be applicable to Virginia Tech.  Suggest requesting removal. 

Superfund is the name given to the environmental program established to address abandoned hazardous waste sites. (http://www.epa.gov/superfund/about.htm)",,7/30/14 CDC,,EPAAR 1509.507-2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.209-74,Limitation of Future Contracting (RAC),Apr 2004,REMOVE,"In solicitations and contracts for Superfund work in excess of the simplified acquisition threshold and, as appropriate, in simplified acquisition procedures for Superfund work. ","Will not be applicable to Virginia Tech.  Suggest requesting removal. 

Superfund is the name given to the environmental program established to address abandoned hazardous waste sites. (http://www.epa.gov/superfund/about.htm)",,7/30/14 CDC,,EPAAR 1509.507-2(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
