Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAA Clauses can be found at: ,https://conwrite.faa.gov/cwcategorylist.cfm,,,,Procurement Guidance:  http://fast.faa.gov/ProcurementGuidance.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.7-1,Exclusion from Future Agency Contracts,Aug-97,C,Contract clause. Must be used in all SIRs and contracts when the Contracting Officer has determined that an organizational conflict of interest could occur.,,Yes (3.1.7-1(f) requires flowdown),06/16/15 CDC,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.7-2,Organizational Conflicts of Interest ,Aug-97,OK,Contract Clause - Must be used in all SIRs and contracts.,,Yes (3.1.7-2(e) requires flowdown),06/16/15 CDC,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.7-4,Organizational Conflict of Interest - Mitigation Plan Required ,Apr-12,OK,Solicitation Provision - Must be used in all SIRs and contracts when the Contracting Officer has determined that an organizational conflict of interest could occur.,,,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.7-6,Disclosure of Certain Employee Relationships ,Jul-09,C,"Contract Clause.  Must be used in all support services SIRs and contracts with an estimated total value of $10,000 or more, and in all support services modifications with an estimated total value of $1,000,000 or more.  Must also submit annual recertification.   ","This clause requires for us to confirm about the participation of ""Subject Individuals""  These are defined as a current FAA employee's father, mother, son, daughter, brother, sister, uncle, aunt, first cousin, nephew, niece, husband, wife, father-in-law, mother-in-law, son-in-law, daughter-in-law, brother-in-law, sister-in-law, stepfather, stepmother, stepson, stepdaughter, stepbrother, stepsister, half brother, half sister, spouse of an in-law, or a member of his/her household.  This would be extremely cumbersome to track. 

Suggest removal. Virginia Tech will not be performing ""support services"" and will, instead, be executing research.  This does not apply.    ",Yes (3.1.7-6(d) requires flowdown.  ,6/18/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-1,False Statements in Offers,Jul-04,C,Contract Clause:  The CO must use this provision in all SIRs.,,,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-2,Minimum Offer Acceptance Period,Jul-04,,Solicitation Provision:  Must be used in SIRs that specify a minimum acceptance period. The CO must insert data in this provision.,Should not be included in an award as this is a solicitation provision. ,,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3-3,Affiliated Offerors,Jul-04,,Solicitation Provision:  Must be used in SIRs if the FAA needs to know about affiliated bidders to prevent practices prejudicial to effective competition.,Should not be included in an award as this is a solicitation provision. ,,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3.-9,Notice of Possible Standardization,Jul-04,,Solicitation Provision.  Must be used in SIRs for supplies that subsequently might be standardized.,"Should not be included in an award as this is a solicitation provision.  Also, this is for supplies and would not apply to a university.  Request removal.  ",,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3.-11,Unnecessarily Elaborate Submittals,Jul-04,,Solicitation Provision.  Must be used in all SIRs.,Should not be included in an award as this is a solicitation provision. ,,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3.-12,Amendments to Screening Information Requests,Jul-04,,Solicitation Provision.  Must be used in all SIRs.,Should not be included in an award as this is a solicitation provision. ,,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2.3.-13,Submission of Information/Documentation/Offers,Jul-04,,Solicitation Provision.  Must be used in all SIRs to instruct offerors of general requirements for submitting offers.,Should not be included in an award as this is a solicitation provision. ,,06/16/15 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
