Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,"C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete, Yellow - An updated version of the clause/provision exists and is currently under review.  Green = Review Recently Completed.  Orange - Link to Provision/Clause/Prescription updated.  ",,,,,,,,,,(FARS listed in this column are the ones I have not yet reviewed to see if they need to be in our list),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.202-1,Definitions,Jun 2020,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold.  This is a required clause.  ,,Not required in clause or prescription,"02/18/23 CDC
05/27/20 CDC
12/30/18 CDC
04/12/15 CDC
03/19/2014 CDC
10/19/2013 CDC
",no,No,2.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Definitions,Nov 2013,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold.  This is a required clause.  ,,Not required in clause or prescription,"12/30/18 CDC
04/12/15 CDC
03/19/2014 CDC
10/19/2013 CDC
",no,No,2.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"Archived on December 2, 2011",July 2004,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold.  This is a required clause.  ,,Not required in clause or prescription,"04/12/15 CDC
11/30/09 LDC",no,No,2.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-2,Certificate of Independent Price Determination,Apr 1985,C,If contract is FP and exceed SAT, ,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
11/30/09 LDC",no,No,3.103-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-3,Gratuities,Apr 1984,C,If contract exceeds SAT (except those for personal services and those between military departments or defense agencies and foreign governments that do not obligate any funds appropriated to the Department of Defense).,,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
11/30/09 LDC",no,No,3.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-5,Covenant Against Contingent Fees,May 2014,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold. This is a required clause.  , ,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
11/30/09 LDC",no,No,3.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-6,Restrictions on Subcontractor Sales to the Government,Jun 2020,C,"If contract exceeds the Simplified Acquisition Threshold (See FAR 2.101 for a definition of Simplified Acquisition Threshold).  
Never accept Alt I, it is for commercial items","Negotiation Position:  If the clause includes Alternate I.  

This clause is prescribed at FAR 3.503-2 to be used with its Alternate I for the acquisition of commercial items.  Since Virginia Tech is not providing commercial items, it is understood that the basic version of the clause without Alternate I applies.  Thank you. 
","Yes, if over SAT","02/1/23 CDC
04/11/21 CDC
05/27/20 CDC
12/30/18 CDC
04/12/15 CDC
10/30/09 LDC",no,No,3.503-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Restrictions on Subcontractor Sales to the Government,Sep 2006,C,"If contract exceeds SAT
Never accept Alt I, it is for commercial items",,"Yes, if over SAT","02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
10/30/09 LDC",no,No,3.503-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-7,Anti-Kickback Procedures,Jun 2020,C,"If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold. This is a required clause.

This is one of many clauses throughout the FAR that is being updated to implement the requirements set forth within Section 821 of the National Defense Authorization Act of 2018.   ",,"Yes, if over SAT including (c)(5) but excluding (c)(1)","02/18/23 CDC
05/27/20 CDC
12/30/18 CDC
04/12/15 CDC
12/15/10 LDC
07/18/14 CDC",no,No,3.502-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
