Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304.404-9000,Notification of Government Security Activity and Visitor Group Security Agreements,,C,If contract requires performance on US Government installations and overseas,,,10/30/09 LDC,,5304.404-90,http://farsite.hill.af.mil/reghtml/regs/far2afmcfars/af_afmc/affars/5304.htm#P25_542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.203-71,Restriction on Advertising,Sep 1999,C,"Required in solicitations and contracts, including acquisitions of leasehold interests in real property, if the contract amount is expected to exceed the simplified acquisition threshold.","Places restrictions on advertising.  Must include the following statement:

""This advertisement is neither paid for nor sponsored, in whole or in part, by any element of the United States Government.""",Not stated within clause or prescription.,4/5/2015 CDC,Yes,503.570-2,http://farsite.hill.af.mil/reghtml/regs/other/gsar/503.htm#P71_9631,Exports needs to review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.211-73,Marking,Feb 1996,Remove,Required in solicitations and contracts for supplies when deliveries may be made to both civilian and military activities and the contract amount is expected to exceed the simplified acquisition threshold.,Virginia Tech shall not be providing supplies/making deliveries,Not stated within clause or prescription.,4/5/2015 CDC,No,511.204(b)(1),http://farsite.hill.af.mil/reghtml/regs/other/gsar/511.htm#P12_2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.211-75,"Preservation, Packaging and Packing",Feb 1996,Remove,For supply contracts that exceed the simplified acquisition threshold. ,Virginia Tech shall not be providing supplies/making deliveries,Not stated within clause or prescription.,4/5/2015 CDC,No,511.204(b)(2),http://farsite.hill.af.mil/reghtml/regs/other/gsar/511.htm#P12_2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.211-77 ,Packing List,Feb 1996,Remove,"To be used in solicitations and contracts for supplies, including purchases over the micropurchase threshold.",Virginia Tech shall not be providing supplies/making deliveries,Not stated within clause or prescription.,4/5/2015 CDC,No,511.204(c ),http://farsite.hill.af.mil/reghtml/regs/other/gsar/511.htm#P12_2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.212-70,RESERVED,,,,,,4/5/2015 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.212-71,Contract Terms and Conditions Applicable to GSA Acquisition of Commercial Items,Oct 2014,Remove,"GSAM/GSAR Part 512, Acquisition of Commercial Items, includes the prescription for this clause within GSAR 512.3, Solicitation Provisions and Contract Clauses for the Acquisition of Commercial Items.  Virginia Tech is not providing commercial items.  Therefore, this clause should not apply.  ",Virginia Tech shall not be providing supplies/making deliveries,Not stated within clause or prescription.,4/5/2015 CDC,No,512.301(a)(1),http://farsite.hill.af.mil/reghtml/regs/other/gsar/512.htm#P12_3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.212-72,Contract Terms and Conditions Required to Implement Statutes or Executive Orders Applicable to GSA Acquisitions of Commercial Items,Sep 2003,Remove,"GSAM/GSAR Part 512, Acquisition of Commercial Items, includes the prescription for this clause within GSAR 512.3, Solicitation Provisions and Contract Clauses for the Acquisition of Commercial Items.  Virginia Tech is not providing commercial items.  Therefore, this clause should not apply.  ",Virginia Tech shall not be providing supplies/making deliveries,Not stated within clause or prescription.,4/5/2015 CDC,No,512.301(a)(2),http://farsite.hill.af.mil/reghtml/regs/other/gsar/512.htm#P12_3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.215-71,Examination of Records by GSA (Multiple Award Schedule),Jul 2003,C,Required in solicitations and contracts for Multiple Award Schedule contracts.,,Not stated within clause or prescription.,4/5/2015 CDC,No,515.209-70(c ),http://farsite.hill.af.mil/reghtml/regs/other/gsar/515.htm#P18_2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.215-72,PRICE ADJUSTMENT—FAILURE TO PROVIDE ACCURATE INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
