Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Click here for link to HHSAR clauses  (48 CFR Chapter 3) - link is: http://www.hhs.gov/oamp/dap/hhsar.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.201-70,Paperwork Reduction Act,Jan 2006,C,In contracts that include a requirement for collection the same information of 10 or more persons,,,,YES - OMB approval is required before collecting such information,301.106z(c) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.202-1,Definitions,Jan 2006,C,If contract exceeds SAT,,not required in clause or prescription,02/25/10 LDC,no,FAR 2.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.203-70,Anti-Lobbying,Dec 2015,C,If contract exceeds SAT,,not required in clause or prescription,08/23/16 CDC,yes,303.808-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.222-70,Contractor Cooperation in Equal Employment Opportunity Investigations,Dec 2015,C,"In solicitations, contracts, and orders that include the clause at FAR 52.222-26, Equal Opportunity.",,"Yes, please see (b).",08/23/16 CDC,yes,"HHSAR 322.810(h),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.223-70,Safety and Health,Jan 2006,OK,Required for services or research & development contracts,,"Yes, for subcontracts involving toxics substances, hazardous materials, or hazardous opreations","08/23/16 CDC
02/25/10 LDC",no,323.7002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.224-70,Privacy Act,Jan 2006,C,"when contract has privacy act requirements
CONSULT WITH EXPORTS",,Yes ,02/25/10 LDC,yes,324.103(b)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.227-70,Publication and Publicity,Jan 2006,C,"in solicitations, contracts, and orders that involve requirements which could lead to the contractor’s publishing the results of its work under the contract  (allows for publication unless otherwise stated in contract)",,"Yes, (d) The contractor shall include this clause, including this section (d) in all subcontracts where the subcontractor may propose publishing the results of its work under the subcontract.",08/24/12 LDC,yes,HHSAR 327.404-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
