Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAA Clauses can be found at: ,https://conwrite.faa.gov/cwcategorylist.cfm,,,,Procurement Guidance:  http://fast.faa.gov/ProcurementGuidance.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.201-70,Coordination of Data Collection Activities,Apr-84,C,Insert the clause in solicitations and contracts where the contractor is required to collect identical information from ten or more public respondents.  ,,,05/30/17 CDC,,2401.106-70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.203-70,Prohibition Against the Use of Federal Employees.,Feb-06,OK,Required in all contracts,,Yes,05/30/17 CDC,,"2403.670,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.204-70,"Preservation of, and access to, contract records (tangible and electronically stored information (ESI) formats).",Dec-12,C,Used in all solicitations and contracts exceeding the simplified acquisition threshold. The Contracting Officer shall use the basic clause with its Alternate I in cost-reimbursement type contract,,Yes,05/30/17 CDC,,2404.7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.208-71,Reproduction of Reports,Apr-84,C,"Used in solicitations and contracts where the contractor is required to produce, as an end product, publications or other written materials.",,,05/30/17 CDC,,2408.802-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.209-70,Potential Organizational Conflicts of Interest ,Feb-00,N/A,"Used in all solicitations over the simplified acquisition limitation when the Contracting Officer has reason to believe that a potential organizational conflict of interest exists. The Contracting Officer shall describe the nature of the potential conflict in the provision. 

This is a solicitation provision (not a contract clause).  Therefore, it should not be included in a resulting awrad.  ",,,05/30/17 CDC,Yes,2409.507-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.209-71,Limitation on Future Contracts,Feb-00,C,Used in solicitations and contracts for services above the simplified acquisition threshold whenever the Contracting Officer has reason to believe that the nature of the proposed contract requirements may present an organizational conflict of interest as defined at FAR Subpart 9.5. The Contracting Officer shall describe in the clause the nature of the potential conflict and the negotiated terms and duration of the limitation.,This clause needs to be tailored to only impact the PI and his/her research team.  Work directly with the PI to determine the scope of work.  Have a faculty agreement signed by the PI confirming understanding that particpation in this project could impact future follow-on efforts.  ,,05/30/17 CDC,Yes,2409.507-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.209-72,Organizational Conflicts of Interest,Apr-84,OK,Used in all contracts.,,Yes,05/30/17 CDC,,2409.507-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.215-70 ,Proposal Content,Mar-16,N/A,"In all solicitations for negotiated procurements expected to exceed the simplified acquisition limit. The provision may be used in simplified acquisitions when it is necessary to obtain business proposal information in making the award selection. If the proposed contract requires work on, or access to, HUD systems or applications (see the clause at 2452.239-70), the provision shall be used with its Alternate I. When the Contracting Officer has determined that it is necessary to limit the size of the technical and management portion of offers submitted by offerors, the provision shall be used with its Alternate II.

This is a solicitation provision (not a contract clause).  Therefore, it should not be included in a resulting awrad.  ",,,05/30/17 CDC,,2415.209(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.215-71,Relative importance of technical evaluation factors to cost or price.,Dec-12,N/A,"Used in solicitations for contracts to be awarded using the tradeoff selection proces.  This is a solicitation provision (not a contract clause).  Therefore, it should not be included in a resulting awrad.  ",,,05/30/17 CDC,,2415.209(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.215-72,Evaluation of Small Business Participation,Dec-12,C,"Used in solicitations for contracts that require the use of the FAR clause in 52.219-9, “Small Business Subcontracting Plan,” that will be awarded using the tradeoff source selection process.",,,05/30/17 CDC,,2415.37 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
