Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of the NASA FAR Supplement:  https://www.ecfr.gov/cgi-bin/ECFR?SID=9dd6090a21a927d5ddccfdf1dec7ef09&mc=true&page=simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.203-71,Requirement to inform employees of whistleblower rights,Aug 2014,OK,Required in all NASA solicitations and contracts.  ,,Yes,5/30/16 CDC,Yes,1803.970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.204-76,Security Requirements for Unclassified Information Technology Resources,April 2021,C,"When contract requires physical or electronic access to NASA IT systems or informations systems and data are part of project
CONSULT WITH OESRC - they will request sponsor confirm this does not apply","Our initial position should be to request for this clause's removal on the grounds that we will not be accessing a NASA IT System.  If NASA refuses to remove it, contact OESRC.    ","Yes, when subs have access to NASA's computer systems or use information on the project","05/08/22 CDC
06/12/17 CDC",yes,1804.470-4(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Security Requirements for Unclassified Information Technology Resources,Jan 2011,C,"When contract requires physical or electronic access to NASA IT systems or informations systems and data are part of project
CONSULT WITH OESRC - they will request sponsor confirm this does not apply","Our initial position should be to request for this clause's removal on the grounds that we will not be accessing a NASA IT System.  If NASA refuses to remove it, contact OESRC.    ","Yes, when subs have access to NASA's computer systems or use information on the project",06/12/17 CDC,yes,1804.470-4(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.208-81,Restrictions on printing and duplicating,Aug 1993,C,when contract requires printing and or duplicating/copying in excess of limits in paragraph (c) ,,Yes - for subs involving printing in excess of limites in clause,3/06/12 LDC,yes,1808.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.211-70,"Packaging, Handling, and Transportation",Sep 2005,C,"Must be included in solicitations for contracts for deliverable items, including software, designated as Class I (mission essential), Class II (delicate or sensitive), or Class III (requires special handling or monitoring).","Review the SOW/discuss with PI.  If the deliverables would not fall under these three classes, take an exception, as the shipping requirements for these classes are significant and would result in added cost to Virginia Tech.  

",,08/15/16 CDC,Yes,1811.404-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.215-84,Ombudsman,Nov 2011,OK,Required in all cnotracts. Alt I should be used for task or delivery order,CO needs to fill in name,"Not required in clause or prescription, but clause says only for offerers and contractors",9/5/22 CDC,,1815.7003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.216-78,Firm Fixed Price,Dec 1988,C,In all Fixed Price contracts,,Not required in clause or prescription,1/29/2010 LDC,no,1816.202-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
