Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5304.404-9000,Notification of Government Security Activity and Visitor Group Security Agreements,,C,If contract requires performance on US Government installations and overseas,,,10/30/09 LDC,,5304.404-90,http://farsite.hill.af.mil/reghtml/regs/far2afmcfars/af_afmc/affars/5304.htm#P25_542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5652.201-9001,Technical Representative (2005),2005,OK,"Used in solicitations and contracts when the Contracting Officer determines there is a need to identify a technical interface for the contractor. This clause shall not be inserted when DFARS 252.201-7000, Contracting Officer's Representative, is included.",,N,8/4/2016 CDC,Y,"5601.602-2-70(e),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5652.201-9002,Authorized Changes Only by Contracting Officer,2005,OK,Used in all solicitations and contracts.,,N,8/4/2016 CDC,Y,5601.602-2-70(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5652.204-9000,",Individual Authorized to Sign,2014,OK,"Required in all solictations.  Since this is a provision to be included in Section k, this should not be included in a contract.  Thanks.  ",,N,8/4/2016 CDC,N,5604.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5652.204-9003,Disclosure of Unclassified Information and Notification Requirements for Cyber Security Breaches,2013,C,"NOTIFY EXPORTS.  This clause can be used in lieu of DFARS 252.204-7000, Disclosure of Information.  For Fundamental Reserach please note within the prescription that it includes the following text at 5604.403(b)(1):

(1) When contracting for fundamental research with non-profits and universities, contracting officers shall use a less restrictive one-time use clause in place of 5652.204-9003, after consulting with legal and in accordance with DoDD 5230.24.",,Y,8/4/2016 CDC,Y,5604.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
