Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:,"C = Conditional ; OK = Always Acceptable ; Remove = never accept ; Purple = needs legal review ; Blue = final review has not occurred  ;  no fill = final review is complete
FOR COPIES OF THE AIDAR CLAUSES, PLEASE VISIT THE FOLLOWING SITE:  https://www.usaid.gov/ads/policy/300/aidar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.202-1,Definitions,,OK,,,,05/27/17 CDC,,702.270-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.204-2,Security Requirements,Feb 1999,C,In contracts involving access to classified or administratively controlled information.  ALERT OESRC.,,,05/27/17 CDC,,704.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.204-70,Partner Vetting Pre-award Requirements,Feb 2012,C,Only if USAID identifies the solicitation as being subject to vetting.  Since this is a solicitation provision (not a contract clause) it should not be included within a resulting award.  Request removal.  ,,,05/27/17 CDC,,704.7005(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.204-71,Partner Vetting,Feb 2012,C,"Only if USAID identifies the contract as being subject to vetting.  Should not typically apply to Virginia Tech.  As a start position within negotiations, request removal claiming that Virginia Tech is a public educational institution and shuold not be subject to vetting.  ",,,05/27/17 CDC,,704.7005(c) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.204-72,Access to USAID Facilities and USAID's Information Systems,Aug 2013,C,"If the contract requires the contractor (or contractor employees) to have routine physical access to USAID-controlled facilities in the U.S. (i.e., will need an ID for regular entry to USAID space), or have logical access to USAID's information systems (i.e., access to AIDNet, Phoenix, the Global Acquisition and Assistance System (GLAAS,) etc.,) and the solicitation and contract contains (48 CFR) FAR 52.204-9(a), the contracting officer must also insert (48 CFR) AIDAR 752.204-72, Access to USAID Facilities and USAID's Information Systems. Only U.S citizen employees or consultants of a U.S.-based company may request routine physical access to USAID-controlled facilities or logical access to USAID's information systems.

This reflects a participation restriction.  NOTIFY EXPORTS","Typically, we are able to negotiate FAR 52.204-9, Personal Identity Verification of Contractor Personnel, out of our contract, as we will not have routine physical access to a Government-controlled facility.  Discuss performance location with PI.",,05/27/17 CDC,,704.404(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.209-71,Organizational Conflicts of Interest Discovered After Award ,Jun 1993,C,"Shall be inserted in all contracts whenever the solicitation or resulting contract or both include a provision in accordance with (48 CFR) FAR 9.507-1, or a clause in accordance with (48 CFR) FAR 9.507-2, establishing a restraint on the contractor's eligibility for future contracts.","If this clause is included, determine what the scope of this effort is and how it could potentially limit Virginia Tech's participation in future contracts.  Work to limit any restrictions on future efforts to just the PI and his/her research team. ",,05/27/17 CDC,,709.507-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.211-70,Language and Measurement,Jun 1992,OK,required for all USAID direct contracts,Required to use metric calculations,,05/27/17 CDC,,711.002-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.216-70,Award Fee,May 1997,REMOVE,In solicitations and contracts when an award-fee contract is contemplated.  Virginia Tech is unable to accept an award fee.  Request removal.,,,05/27/17 CDC,,716.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752.216-71,Partner Vetting in Indefinite Delivery Contracts,Feb 2012,REMOVE,In all indefinite-delivery contracts subject to vetting.,"As a start position within negotiations, request removal claiming that Virginia Tech is a public educational institution and shuold not be subject to vetting.  ",,05/27/17 CDC,,716.506(b)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
